specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Vascular Surgery,Knoxville,Knoxville Area Community Hospital,1/MO,Iowa Heart Center - West Des Moines,West Des Moines,"David Kum-Wah Chew, MD"
Otolaryngology,Lake City,McCrary Rost Clinic - Lake City,2/MO,ENT Specialists PC,"Omaha, NE","Kyle Jonathan Stansifer, MD"
Cardiovascular Disease,Lake City,McCrary-Rost Clinic,1/MO,Iowa Heart Center - Carroll,Carroll,"Suzanne Amy Feigofsky, MD"
Ophthalmology,Lake City,McCrary-Rost Clinic,2/MO,Wolfe Eye Clinic - Spencer,Spencer,"Stephen Paul Fox, MD"
Orthopaedic Surgery,Lake City,McCrary-Rost Clinic,1/MO,UnityPoint Clinic Ortho - Fort Dodge,Fort Dodge,"Elijah Gaylen Miller, DO"
Otolaryngology,Lake City,McCrary-Rost Clinic,2/MO,ENT Specialists PC,"Omaha, NE","Kyle Jonathan Stansifer, MD"
Urology,Lake City,McCrary-Rost Clinic,1/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Timothy G Kneib, MD"
Ophthalmology,Lake City,Rock Vision Clinic,2/MO,Wolfe Eye Clinic - Ames,Ames,"Steven Oscar Anderson, MD"
Cardiovascular Disease,Le Mars,Floyd Valley Healthcare,2/MO,Hansen Family - Iowa Falls Clinic,Iowa Falls,"Thomas Samuel Waters, DO"
Dermatology,Le Mars,Floyd Valley Healthcare,2/MO,CNOS - Sioux City,Sioux City,"Raymond Takashi Kuwahara, MD"
General Surgery,Le Mars,Floyd Valley Healthcare,2/WK,Floyd Valley Healthcare,Le Mars,"Brooke Autumn Konz, MD"
General Surgery,Le Mars,Floyd Valley Healthcare,1/WK,Sioux Center Health,Sioux Center,"Nicholas Jon Mouw, MD"
General Surgery,Le Mars,Floyd Valley Healthcare,2/WK,Floyd Valley Healthcare,Le Mars,"Shahid Iqbal Naqvi, MD"
Nephrology,Le Mars,Floyd Valley Healthcare,1/MO,Renal Associates,"Dakota Dunes, SD","Ashar Luqman, MD"
Nephrology,Le Mars,Floyd Valley Healthcare,1/MO,Renal Associates,"Dakota Dunes, SD","Euclid Jerome St. Hill, MD"
Neurology,Le Mars,Floyd Valley Healthcare,1/MO,"CNOS, PC","Dakota Dunes, SD","Mei He, MD"
Orthopaedic Surgery,Le Mars,Floyd Valley Healthcare,1/WK,CNOS - Sioux City,Sioux City,"Aaron Timothy Althaus, MD"
Otolaryngology,Le Mars,Floyd Valley Healthcare,2/MO,"Wagner Ear, Nose & Throat",Sioux City,"David V Wagner, MD"
Urology,Le Mars,Floyd Valley Healthcare,1/WK,Siouxland Urological Assoc,"Dakota Dunes, SD","Craig A Block, MD"
Vascular Surgery,Le Mars,Floyd Valley Healthcare,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Chad Roger Laurich, MD"
General Surgery,Leon,Decatur County Hospital,<1/MO,Ringgold County Hospital,Mount Ayr,"Edwin Vincent Wehling, DO"
Medical Oncology,Leon,Decatur County Hospital,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Zeeshan Ali Jawa, MD"
Orthopaedic Surgery,Leon,Decatur County Hospital,2/MO,Quality Care Clinic & Surgicenter,Clinton,"Tyson K Cobb, MD"
Orthopaedic Surgery,Leon,Decatur County Hospital,2/MO,Wayne County Hospital,Corydon,"Shehada Mohamad Homedan, MD"
Pulmonary Disease,Leon,Decatur County Hospital,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Daniel Lee Dodge, DO"
Pulmonary Disease,Leon,Decatur County Hospital,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Matthew William Trump, DO"
Urology,Leon,Decatur County Hospital,2/MO,Urology Center of Iowa,Clive,"Brian Lane Gallagher, MD"
Allergy & Immunology,Manchester,Regional Medical Center,1/MO,Medical Associates Clinic - West,Dubuque,"Brad Joseph McClimon, MD"
Cardiovascular Disease,Manchester,Regional Medical Center,3+/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Keith Jon Kopec, MD"
General Surgery,Manchester,Regional Medical Center,3+/WK,Cedar Valley Med Spec - General Surgery,Waterloo,"Andrew Hans Rikkers, DO"
Medical Oncology,Manchester,Regional Medical Center,2/MO,Oncology Assoc of Cedar Rapids,Cedar Rapids,"Deborah W Wilbur, MD"
Nephrology,Manchester,Regional Medical Center,1/MO,UnityPoint Clinic - Diabetes/Kidney Center,Cedar Rapids,"Abha Saxena, MD"
Nephrology,Manchester,Regional Medical Center,1/MO,Grand River Med Group Nephrology/HTN Clinic,Dubuque,"John E Whalen, MD"
Ophthalmology,Manchester,Regional Medical Center,1/MO,Fox Eye Laser Vision Inst. PC,Cedar Rapids,"Lee D Birchansky, MD"
Ophthalmology,Manchester,Regional Medical Center,2/MO,Fuerste Eye Clinic,Dubuque,"Frederick Hunter Fuerste, MD"
Orthopaedic Surgery,Manchester,Regional Medical Center,2/MO,Cedar Valley Med Spec - Ortho (W Dale),Waterloo,"Mark Thomas Gorsche, MD"
Orthopaedic Surgery,Manchester,Regional Medical Center,2/MO,Cedar Valley Med Spec - Ortho (W Dale),Waterloo,"Thomas S Gorsche, MD"
Otolaryngology,Manchester,Regional Medical Center,2/MO,PCI ENT Clinic,Cedar Rapids,"Ryan Douglas Dempewolf, MD"
Otolaryngology,Manchester,Regional Medical Center,2/MO,PCI ENT Clinic,Cedar Rapids,"Thomas Edward Heineman, MD"
Pulmonary Disease,Manchester,Regional Medical Center,<1/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Hamad Azam, MD"
Pulmonary Disease,Manchester,Regional Medical Center,<1/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Vijaya Kumar Gogineni, MD"
Urology,Manchester,Regional Medical Center,1/WK,Mercy Clinics Urology - Cedar Rapids,Cedar Rapids,"Matthew Christopher Ferroni, MD"
Urology,Manchester,Regional Medical Center,1/WK,PCI Urology Clinic,Cedar Rapids,"Logan D Hoxie, MD"
Urology,Manchester,Regional Medical Center,1/WK,PCI Urology Clinic,Cedar Rapids,"Gregory Michael Janda, MD"
Urology,Manchester,Regional Medical Center,1/WK,PCI Urology Clinic,Cedar Rapids,"Michael Andrew Moriarty, MD"
Cardiovascular Disease,Manning,Manning Regional Healthcare Center,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Jitendra Pandya, MD"
General Surgery,Manning,Manning Regional Healthcare Center,1/WK,Stewart Memorial Community Hospital,Lake City,"Josh Anthony Smith, DO"
Obstetrics & Gynecology,Manning,Manning Regional Healthcare Center,1/MO,Shenandoah Physicians Clinic,Shenandoah,"Michael P Woods, MD"
Orthopaedic Surgery,Manning,Manning Regional Healthcare Center,2/MO,"CNOS, PC","Dakota Dunes, SD","Steven J Stokesbary, MD"
Otolaryngology,Manning,Manning Regional Healthcare Center,2/MO,ENT Specialists PC,"Omaha, NE","David Arthur Denman, MD"
Urology,Manning,Manning Regional Healthcare Center,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Andrew Elliott Bourne, MD"
Cardiovascular Disease,Maquoketa,Jackson County Regional Health Center,2/MO,Cardiovascular Medicine PC,Davenport,"Edmund P Coyne, MD"
Cardiovascular Disease,Maquoketa,Jackson County Regional Health Center,2/MO,Medical Associates Clinic - East,Dubuque,"Thomas M Johnson, MD"
Cardiovascular Disease,Maquoketa,Jackson County Regional Health Center,2/MO,Medical Associates Clinic - East,Dubuque,"Ramanujam S Ramabadran, MD"
Obstetrics & Gynecology,Maquoketa,Jackson County Regional Health Center,2/MO,"The Group - OB/GYN Specialists, PC",Davenport,"Lyndsey Jo Day, MD"
Obstetrics & Gynecology,Maquoketa,Jackson County Regional Health Center,2/MO,"The Group - OB/GYN Specialists, PC",Davenport,"Jennifer Christine Steines Wagemester, MD"
Ophthalmology,Maquoketa,Jackson County Regional Health Center,1/MO,Fox Eye Laser Vision Inst. PC,Cedar Rapids,"Lee D Birchansky, MD"
Ophthalmology,Maquoketa,Jackson County Regional Health Center,2/MO,Fuerste Eye Clinic,Dubuque,"Benjamin John Janson, MD"
Orthopaedic Surgery,Maquoketa,Jackson County Regional Health Center,1/WK,Dubuque Orthopaedic Surgeons PC,Dubuque,"Ryan Patrick Cloos, DO"
Orthopaedic Surgery,Maquoketa,Jackson County Regional Health Center,1/WK,Dubuque Orthopaedic Surgeons PC,Dubuque,"Stephen E Pierotti, MD"
Otolaryngology,Maquoketa,Jackson County Regional Health Center,2/MO,Dubuque ENT Head & Neck Surgery,Dubuque,"Thomas J Benda, MD"
Pain Medicine Anes,Maquoketa,Jackson County Regional Health Center,2/MO,Iowa Illinois Pain Consultants,Davenport,"Timothy J Miller, MD"
Urology,Maquoketa,Jackson County Regional Health Center,1/MO,Urological Associates PC,Davenport,"Andrew James Lightfoot, MD"
Urology,Maquoketa,Jackson County Regional Health Center,1/MO,Urological Associates PC,Davenport,"David Paul Rohlf, MD"
Dermatology,Marengo,Compass Memorial Healthcare,2/MO,Epiphany Dermatology - Cedar Rapids,Cedar Rapids,"John H Wollner, MD"
Ophthalmology,Marengo,Compass Memorial Healthcare,2/MO,Wolfe Eye Clinic - Cedar Rapids,Hiawatha,"Edward Hsu Hu, MD"
Orthopaedic Surgery,Marengo,Compass Memorial Healthcare,1/WK,Capital Orthopaedics & Sports Med,Clive,"Ross Gerald Doehrmann, DO"
Otolaryngology,Marengo,Compass Memorial Healthcare,3+/MO,"ENT Medical Services, PC",Iowa City,"Elyse Katharine Hanly, MD"
Plastic Surgery,Marengo,Compass Memorial Healthcare,1/MO,Dr Andrews Plastic Surgery,Coralville,"Kahlil Jihad Andrews, MD"
Pulmonary Disease,Marengo,Compass Memorial Healthcare,1/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Brian Douglas Lindsay, MD"
Urology,Marengo,Compass Memorial Healthcare,2/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Daniel K Lee, MD"
Nephrology,Marshalltown,DaVita Marshalltown Mary Greeley Dialysis,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Jacob C Alexander, MD"
Nephrology,Marshalltown,DaVita Marshalltown Mary Greeley Dialysis,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Lavanya Amuluru, MD"
Nephrology,Marshalltown,DaVita Marshalltown Mary Greeley Dialysis,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Steven C Hallberg, MD"
Nephrology,Marshalltown,DaVita Marshalltown Mary Greeley Dialysis,1/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Vinay K Kantamneni, MD"
Nephrology,Marshalltown,DaVita Marshalltown Mary Greeley Dialysis,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Arani Nanavati, MD"
Cardiovascular Disease,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Mary Greeley,Ames,"Jason Thomas Rasmussen, MD"
Hematology-Oncology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/WK,McFarland - William Bliss Cancer Center,Ames,"Austin Robert Greco, MD"
Medical Oncology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/WK,McFarland - William Bliss Cancer Center,Ames,"Joseph J Merchant, MD"
Medical Oncology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/WK,McFarland - William Bliss Cancer Center,Ames,"Sonam Jay Patel, MD"
Nephrology,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Medical Arts Building,Ames,"Jacob C Alexander, MD"
Nephrology,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Medical Arts Building,Ames,"Lavanya Amuluru, MD"
Neurology,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Medical Arts Building,Ames,"Edward Joseph Clemmons, DO"
Neurology,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Medical Arts Building,Ames,"Olesya Grinenko, MD"
Neurology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Semira Ramic, DO"
Obstetrics & Gynecology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Bonnie Sue Beer, MD"
Obstetrics & Gynecology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Beth Kathleen Soulli, DO"
Ophthalmology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/MO,McFarland Clinic - Duff Ave Eye Center,Ames,"Nicolas G Hamouche, MD"
Orthopaedic Surgery,Marshalltown,McFarland Clinic - Marshalltown Main St,2/MO,McFarland Clinic - Duff Ave,Ames,"James A Friederich, MD"
Pain Medicine Anes,Marshalltown,McFarland Clinic - Marshalltown Main St,1/WK,McFarland Clinic Fam Med - West Ames,Ames,"Godfrey Ikigu Thuku, MD"
Urology,Marshalltown,McFarland Clinic - Marshalltown Main St,1/MO,McFarland Clinic - Duff Ave,Ames,"Damon James Dyche, MD"
Cardiovascular Disease,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/WK,UnityPoint Waukee Med Park - Cardiology,Waukee,"Eduardo S Antezano, MD"
Cardiovascular Disease,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/WK,UnityPoint Clinic Cardiology - Methodist Plaza,Des Moines,"Craig A Stark, MD"
Nephrology,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,2/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Vinay K Kantamneni, MD"
Ob/Gyn - Hospice & Palliative Medicine,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,UnityPoint Clinic OB/GYN - Grinnell,Grinnell,"Abby Nicole Flannagan, DO"
Ob/Gyn - Hospice & Palliative Medicine,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,Grinnell Family Practice ,Grinnell,"Heidi Joy Klingelhofer, DO"
Urology,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Eric David Andresen, MD"
Urology,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Eric John Askeland, MD"
Urology,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Daniel K Lee, MD"
Urology,Marshalltown,UnityPoint Specialty Clinic - Marshalltown,1/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Mark Richard Newton, MD"
Cardiovascular Disease,Missouri Valley,CHI Health - Missouri Valley,2/MO,CHI Heart and Vascular Specialists,"Omaha, NE","Himanshu Agarwal, MD"
Cardiovascular Disease,Missouri Valley,CHI Health - Missouri Valley,2/MO,CHI Heart and Vascular Specialists,"Omaha, NE","Dawn M Bodnar, MD"
Cardiovascular Disease,Missouri Valley,CHI Health - Missouri Valley,2/MO,CHI Heart and Vascular Specialists,"Omaha, NE","Toufik Mahfood-Haddad, MD"
General Surgery,Missouri Valley,CHI Health - Missouri Valley,1/WK,CHI Mercy General Surgery - Council Bluffs,Council Bluffs,"Erin Hale, MD"
Obstetrics & Gynecology,Missouri Valley,CHI Health - Missouri Valley,2/MO,Women's Health Specialists Immanuel,"Omaha, NE","Sami K Zeineddine, MD"
Orthopaedic Surgery,Missouri Valley,CHI Health - Missouri Valley,1/WK,Omaha Ortho & Sports Med PC,"Omaha, NE","Jason John Mickels, MD"
Otolaryngology,Missouri Valley,CHI Health - Missouri Valley,2/MO,CHI Health Lakeside,"Omaha, NE","Adam Michael Pleas, MD"
Pulmonary Disease,Missouri Valley,CHI Health - Missouri Valley,1/MO,CHI Health Creighton University Med Cent,"Omaha, NE","Nikhil Jagan, MD"
Urology,Missouri Valley,CHI Health - Missouri Valley,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Larry E Siref, MD"
Cardiovascular Disease,Mount Ayr,Ringgold County Hospital,3/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Enrico L Martin, MD"
Nephrology,Mount Ayr,Ringgold County Hospital,1/MO,Associates in Kidney Care PLC,Des Moines,"Patrick Co Chua, MD"
Orthopaedic Surgery,Mount Ayr,Ringgold County Hospital,2/MO,Wayne County Hospital,Corydon,"Shehada Mohamad Homedan, MD"
Urology,Mount Ayr,Ringgold County Hospital,1/MO,Urology Center of Iowa,Clive,"Ryan Theodore Schulte, MD"
Otolaryngology,Mount Pleasant,Henry County Health Center,1/WK,Burlington ENT Clinic,West Burlington,"Douglas E Henrich, MD"
Nephrology,Muscatine,UIHC Clinic - Muscatine,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Meenakshi Sambharia, MD"
Nephrology,Muscatine,UIHC Clinic - Muscatine,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Douglas L Somers, MD"
Pulmonary Disease,Muscatine,UIHC Clinic - Muscatine,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Spyridon Fortis, MD"
Cardiovascular Disease,Muscatine,UnityPoint Health Trinity - Muscatine Camp,1/WK,Cardiovascular Medicine PC,Davenport,"Michael J Gimbel, MD"
Cardiovascular Disease,Muscatine,UnityPoint Health Trinity - Muscatine Camp,1/WK,Cardiovascular Medicine PC,"Moline, IL","Aswartha Reddy Pothula, MD"
Cardiovascular Disease,Muscatine,UnityPoint Health Trinity - Muscatine Camp,1/WK,Cardiovascular Medicine,"Moline, IL","Param Singh, MD"
General Surgery,Nevada,Story County Medical Center,2/MO,MercyOne Surgical Group - Des Moines,Des Moines,"Dennis A Whitmer, DO"
Obstetrics & Gynecology,Nevada,Story County Medical Center,1/MO,Story Medical Clinic - Nevada,Nevada,"Timothy G Leeds, MD"
Ophthalmology,Nevada,Story County Medical Center,1/MO,Wolfe Eye Clinic - Ames,Ames,"Steven Oscar Anderson, MD"
Orthopaedic Surgery,Nevada,Story County Medical Center,1/WK,Iowa Specialty Hospital/Clinics - Belmond,Belmond,"Gautam Kakade, MD"
Physical Medicine & Rehab,Nevada,Story County Medical Center,1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Sleep Medicine Neurology,Nevada,Story County Medical Center,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Edward Joseph Clemmons, DO"
Cardiovascular Disease,New Hampton,MercyOne Medical Center - New Hampton,1/MO,Mason City Clinic PC,Mason City,"Muhammad Anwar Al Sharif, DO"
Cardiovascular Disease,New Hampton,MercyOne Medical Center - New Hampton,1/MO,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,New Hampton,MercyOne Medical Center - New Hampton,1/MO,Mason City Clinic PC,Mason City,"Samuel J Congello, DO"
Cardiovascular Disease,New Hampton,MercyOne Medical Center - New Hampton,1/WK,Mason City Clinic PC,Mason City,"Michael J Sarik, DO"
Ob/Gyn - Hospice & Palliative Medicine,New Hampton,MercyOne Medical Center - New Hampton,1/WK,MercyOne Family Med Residency - Mason City,Mason City,"Chad Michael McCambridge, MD"
Orthopaedic Surgery,New Hampton,MercyOne Medical Center - New Hampton,1/WK,Mason City Clinic PC,Mason City,"Mihail Radulescu, MD"
Otolaryngology,New Hampton,MercyOne Medical Center - New Hampton,2/MO,Mason City Clinic PC,Mason City,"Vishram Jalukar, MD"
Psychiatry,New Hampton,MercyOne Medical Center - New Hampton,1/MO,Mason City Clinic - Psychiatry,Mason City,"Mark E Lassise, MD"
Urology,New Hampton,MercyOne Medical Center - New Hampton,2/MO,Mason City Clinic PC,Mason City,"Kevin R Rier, MD"
Allergy & Immunology,Newton,MercyOne Newton Medical Center,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,2/WK,Iowa Clinic Cardiovascular - Plaza II,Des Moines,"Musab Alqasrawi, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Heart Center - West Des Moines,West Des Moines,"Joseph John Doerer, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Heart Center - West Des Moines,West Des Moines,"Michael C Fraizer, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Heart Center - West Des Moines,West Des Moines,"Harold Wenjing Hsu, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Heart Center - West Des Moines,West Des Moines,"Jason Douglas Meyers, MD"
Cardiovascular Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Heart Center - Mercy Medical Center,Des Moines,"Gardar Sigurdsson, MD"
Dermatology,Newton,MercyOne Newton Medical Center,1/MO,Forefront Dermatology - Clive,Clive,"Vincent L Angeloni, MD"
Hand Surgery,Newton,MercyOne Newton Medical Center,1/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"John Thomas Heineman, MD"
Hematology-Oncology,Newton,MercyOne Newton Medical Center,1/WK,Mission Cancer + Blood - John Stoddard,Des Moines,"Daniel Matthew Buroker, MD"
Hematology-Oncology,Newton,MercyOne Newton Medical Center,1/WK,Mission Cancer + Blood - MercyOne Clive,Clive,"Christian Philip Schultheis, MD"
Nephrology,Newton,MercyOne Newton Medical Center,3/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Paravathy Krishna Geetha, MD"
Nephrology,Newton,MercyOne Newton Medical Center,3/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Jennifer Lauren Thompson, DO"
Orthopaedic Surgery,Newton,MercyOne Newton Medical Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Mark R Matthes, MD"
Orthopaedic Surgery,Newton,MercyOne Newton Medical Center,3/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Brett David Rosenthal, MD"
Orthopaedic Surgery,Newton,MercyOne Newton Medical Center,1/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Christopher Branden Vincent, MD"
Otolaryngology,Newton,MercyOne Newton Medical Center,1/WK,Iowa Clinic ENT/Allergy,West Des Moines,"Brett James Baldwin, DO"
Pain Medicine Anes,Newton,MercyOne Newton Medical Center,1/WK,Medical Center Anesthesiologists,Des Moines,"Jolene Marie Smith, DO"
Pulmonary Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Clinic Pulmonary,West Des Moines,"Ryan Matthew Brimeyer, DO"
Pulmonary Disease,Newton,MercyOne Newton Medical Center,1/WK,Iowa Clinic Pulmonary,West Des Moines,"Samantha   Danielson, MD"
Cardiovascular Disease,Omaha,CHI Health Cardiology,1/WK,CHI Health Cardiology,"Omaha, NE","Guneet Kaur Van De Graaff, MD"
Nephrology,Omaha,Omaha Nephrology PC,1/MO,Renal Associates,"Dakota Dunes, SD","Ashar Luqman, MD"
Cardiovascular Disease,Onawa,Burgess Health Center,4+/MO,CHI Health Cardiology,"Omaha, NE","Ahmed Salah Aboeata, MD"
Cardiovascular Disease,Onawa,Burgess Health Center,4+/MO,CHI Health Cardiology,"Omaha, NE","Venkata Mahesh Babu Alla, MD"
Cardiovascular Disease,Onawa,Burgess Health Center,2/WK,CHI Mercy Clinic Cardiology,Council Bluffs,"Terrence T Slattery, MD"
Dermatology,Onawa,Burgess Health Center,,"CNOS, PC","Dakota Dunes, SD","Michelle L Daffer, MD"
Dermatology,Onawa,Burgess Health Center,2/MO,Dunes Dermatology,"Dakota Dunes, SD","Patrick Kwame Safo, MD"
Endocrinology Diabetes Metaboli,Onawa,Burgess Health Center,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Sydney Lynn Blount, MD"
General Surgery,Onawa,Burgess Health Center,1/WK,"CNOS, PC","Dakota Dunes, SD","James Ronald Hegvik, MD"
General Surgery,Onawa,Burgess Health Center,1/WK,"CNOS, PC","Dakota Dunes, SD","Craig Robert Nemechek, MD"
General Surgery,Onawa,Burgess Health Center,1/WK,"CNOS, PC","Dakota Dunes, SD","Lawrence T Volz, MD"
Interventional Radiology,Onawa,Burgess Health Center,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Neal Khurana, MD"
Medical Oncology,Onawa,Burgess Health Center,1/MO,June E Nylen Cancer Center,Sioux City,"Nibash Budhathoki, MD"
Medical Oncology,Onawa,Burgess Health Center,1/MO,June E Nylen Cancer Center,Sioux City,"Donald B Wender, MD"
Nephrology,Onawa,Burgess Health Center,2/MO,Omaha Nephrology PC,"Omaha, NE","Richard John Lund, MD"
Nephrology,Onawa,Burgess Health Center,1/MO,Renal Associates,"Dakota Dunes, SD","Euclid Jerome St. Hill, MD"
Obstetrics & Gynecology,Onawa,Burgess Health Center,1/MO,Siouxland Women's Health Care PC,Sioux City,"Kevin W Hamburger, MD"
Ophthalmology,Onawa,Burgess Health Center,2/MO,Retina Consultants of the Midlands,"Omaha, NE","Joshua Chaim Priluck, MD"
Orthopaedic Surgery,Onawa,Burgess Health Center,3/MO,"CNOS, PC","Dakota Dunes, SD","Steven J Stokesbary, MD"
Otolaryngology,Onawa,Burgess Health Center,2/MO,Family ENT Clinic,"Omaha, NE","Paul S Sherrerd, MD"
Pain Medicine Anes,Onawa,Burgess Health Center,3/MO,Dunes Pain Management,"Dakota Dunes, SD","Jeremy Bryan Poulsen, DO"
Urology,Onawa,Burgess Health Center,3/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Timothy G Kneib, MD"
Cardiovascular Disease,Orange City,Orange City Health System,2/MO,Sanford Cardiovascular Institute,"Sioux Falls, SD","Christopher Mark Stanton, MD"
Cardiovascular Disease,Orange City,Orange City Health System,2/MO,Sanford Cardiovascular Institute,"Sioux Falls, SD","Kelly Jo Steffens, DO"
Dermatology,Orange City,Orange City Health System,1/MO,CNOS - Sioux City,Sioux City,"Raymond Takashi Kuwahara, MD"
Interventional Radiology,Orange City,Orange City Health System,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Neal Khurana, MD"
Maternal & Fetal Medicine,Orange City,Orange City Health System,1/MO,Sanford Clinic Maternal-Fetal Medicine,"Sioux Falls, SD","Rachel Leigh Rodel, MD"
Medical Oncology,Orange City,Orange City Health System,2/MO,Sanford USD Medical Center,"Sioux Falls, SD","Travis Paul Snyders, MD"
Nephrology,Orange City,Orange City Health System,1/MO,Sanford Clinic Transplant/Nephrology,"Sioux Falls, SD","Dana Eden Brandys, DO"
Obstetrics & Gynecology,Orange City,Orange City Health System,3/MO,Siouxland Women's Health Care PC,Sioux City,"Danielle Jessica Hay, DO"
Ophthalmology,Orange City,Orange City Health System,1/MO,Sanford Clinic Ophthalmology,"Sioux Falls, SD","Michael E Vanden Bosch, MD"
Orthopaedic Surgery,Orange City,Orange City Health System,1/WK,"CNOS, PC","Dakota Dunes, SD","Joshua Conor Locker, MD"
Orthopaedic Surgery,Orange City,Orange City Health System,2/MO,CNOS - Sioux City,Sioux City,"William Oliver Samuelson, MD"
Pulmonary Disease,Orange City,Orange City Health System,2/MO,Sanford Medical Center  - Vermillion,"Vermillion, SD","Ross N Bacon, MD"
Urology,Orange City,Orange City Health System,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","David Henry Daniels, MD"
Vascular Neurology,Orange City,Orange City Health System,1/MO,Sanford Clinic Vascular Associates,"Sioux Falls, SD","Patrick Wayne Kelly, MD"
Cardiovascular Disease,Osage,Mitchell County Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,Osage,Mitchell County Regional Health Center,1/MO,Mason City Clinic PC,Mason City,"Sepideh Sahar Darbandi, DO"
Dermatology,Osage,Mitchell County Regional Health Center,1/MO,MercyOne Clinics Dermatology - Mason City,Mason City,"Yen Chen Liu, MD"
Ophthalmology,Osage,Mitchell County Regional Health Center,2/MO,North Iowa Eye Clinic,Mason City,"Brandt Michael Riley, DO"
